from,to
n281600,n281600
g321601,g321601
g321601,g321602
g321601,g321603
g321601,g321605
g321601,g321200
g321601,g321604
g321601,g321607
g321601,g321606
g321601,g321608
g321601,g321609
g321601,g321621
g321601,g321611
g321601,g321612
g321601,g321613
g321601,g321615
g321601,g321614
g321601,g321616
g321601,g321617
g321601,g321638
g321601,g321622
g321601,g321619
g321601,g321618
g321601,g321624
g321601,g321625
g321601,g414707
g321601,g414701
g321601,g414706
g321601,g234700
g321601,g596800
g321601,g331632
g321601,g431303
g321601,g431304
g321601,g431305
g321601,g321633
g321601,g321641
g321601,g321642
g321601,g321644
g321601,g321645
g321601,g321646
g321601,g321634
g321601,g321635
g321601,g321636
g321601,g321637
g321601,g321628
g321601,g321629
g321601,g321630
g321601,g321631
g321601,g321610
g321601,g431302
g321601,g321616
g321601,g234700
g321601,g321627
g321601,g321625
g321601,g321626
g321601,g321643
g321601,g321639
g321601,g321640
g321601,n451800
g321601,n261501
g321601,n361700
g321601,n354701
g321601,n151700
g321601,n161601
g321601,n281800
g321601,n261601
g321601,n381602
g321601,n261502
g321601,n261503
g321601,n266500
g321601,n266500
g321601,n266500
g321601,n266500
g321601,n281600
g321601,n151600
g321601,n351700
g321601,n454800
g321601,n464800
g321601,n381601
g321601,n261604
g321601,n261607
g321601,n261608
g321601,n361600
g321601,n261609
g321601,n161604
g321601,n161605
g321601,n161607
g321601,n261700
g321601,w341209
g321601,w241221
g321601,w161501
g321601,w161502
g321601,w231300
g321601,w157600
g321601,w241203
g321601,w141100
g321601,w241204
g321601,w341203
g321601,w241206
g321601,w341207
g321601,w341208
g321601,w241208
g321601,w241209
g321601,w241210
g321601,w241212
g321601,w241214
g321601,w241217
g321601,w341210
g321601,w241218
g321601,w341211
g321601,w241220
g321601,w341212
g321601,w241223
g321601,w261403
g321601,w151100
g321601,w251200
g321601,w261100
g321601,m241201
g321601,m261100
g321601,m261400
g321601,m264700
g321601,m261501
g321601,m231300
g321601,m323701
g321601,m323600
g321601,m313700
g321601,m266400
g321601,m243202
g321601,m331400
g321601,m141201
g321601,m141202
g321601,m141203
g321601,m141204
g321601,m141205
g321601,m241202
g321601,m141206
g321601,m141207
g321601,m141208
g321601,m141209
g321601,m141210
g321601,m241203
g321601,m141211
g321601,m141212
g321601,m251600
g321601,m141100
g321601,m151100
g321601,m251200
g321601,m351600
g321601,m463600
g321601,m261502
n454701,w341202
n454701,w241216
w231401,g321605
w231401,g321604
w231401,g321607
w231401,g414707
w231401,g321646
w231401,n381602
w231401,n261400
w231401,n261609
w231401,n261610
w231401,w231401
w231401,w341202
w231401,w241216
w231401,w241221
w231401,w241203
w231401,w141100
w231401,w341203
w231401,w341205
w231401,w241207
w231401,w341208
w231401,w241214
w231401,w241217
w241216,g321617
w241216,g321610
w241216,g321626
w241216,n151700
w241216,n261504
w241216,n266500
w241216,n351700
w241216,n381601
w241216,m556800
w241216,w231401
w241216,w241216
w241216,w161501
w241216,w161502
w241216,w261403
g321612,g321601
g321612,g321200
g321612,g321616
g321612,g321638
g321612,g321622
g321612,g414707
w241206,g321614
w241206,n364700
w241206,w231402
w241206,w161502
w241206,w241203
w241206,w241210
w241206,w241219
m241201,n261503
m241201,n265700
m241201,n464800
m241201,n364800
m241201,m323701
m241201,m313700
m241201,m263500
m241201,m243202
m241201,m143200
m241201,m143100
m241201,m151100
m241201,m251200
m241201,m351600
m241201,m243201
m241201,m463600
w341203,g321601
w341203,g321603
w341203,g321605
w341203,g321200
w341203,g321604
w341203,g321607
w341203,g321606
w341203,g321608
w341203,g321620
w341203,g321609
w341203,g321621
w341203,g321611
w341203,g321613
w341203,g321615
w341203,g321614
w341203,g321616
w341203,g321617
w341203,g321638
w341203,g321619
w341203,g321618
w341203,g321624
w341203,g414701
w341203,g414706
w341203,g234700
w341203,g596800
w341203,g331632
w341203,g431304
w341203,g431305
w341203,g321633
w341203,g321641
w341203,g321642
w341203,g321644
w341203,g321645
w341203,g321646
w341203,g321634
w341203,g321635
w341203,g321636
w341203,g321628
w341203,g321629
w341203,g321630
w341203,g321631
w341203,g431302
w341203,g321616
w341203,g234700
w341203,g321625
w341203,g321626
w341203,g321643
w341203,g321639
w341203,n151700
w341203,n351700
w341203,n261609
w341203,n251600
w341203,m556800
w341203,w231401
w341203,w341203
w341203,w261200
w341203,w261300
n261608,g321601
n261608,g321602
n261608,g321603
n261608,g321200
n261608,g321616
n261608,g321633
n261608,g321634
n261608,g321635
n261608,g321628
n261608,g321640
n261608,n451800
n261608,n161601
n261608,n261601
n261608,g361800
n261608,n381602
n261608,n281600
n261608,n351700
n261608,n381601
n261608,n261604
n261608,n361600
n261608,n261610
n261608,n451400
n261608,w231402
n261608,m261501
n261608,m331400
m261501,g321601
m261501,g321602
m261501,g321603
m261501,g321605
m261501,g321604
m261501,g321607
m261501,g321609
m261501,g321614
m261501,g321617
m261501,g321638
m261501,g234700
m261501,g321633
m261501,g321644
m261501,g321646
m261501,g321610
m261501,n451800
m261501,n151700
m261501,n161601
m261501,n261502
m261501,n261400
m261501,n261504
